home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result
Brazil,Mexico,81649,Group stage,Brazil,1950,1950-06-24,4,0,home_win
Brazil,Sweden,12000,Third-place match,France,1938,1938-06-19,4,2,home_win
Italy,Hungary,45000,Final,France,1938,1938-06-19,4,2,home_win
Hungary,Sweden,20000,Semi-finals,France,1938,1938-06-16,5,1,home_win
Italy,Brazil,33000,Semi-finals,France,1938,1938-06-16,2,1,home_win
Brazil,Czechoslovakia,18141,Quarter-finals,France,1938,1938-06-14,2,1,home_win
Sweden,Cuba,7000,Quarter-finals,France,1938,1938-06-12,8,0,home_win
Brazil,Czechoslovakia,22021,Quarter-finals,France,1938,1938-06-12,1,1,draw
Hungary,Switzerland,15000,Quarter-finals,France,1938,1938-06-12,2,0,home_win
Italy,France,58455,Quarter-finals,France,1938,1938-06-12,3,1,home_win
Switzerland,Germany,20025,Round of 16,France,1938,1938-06-09,4,2,home_win
Cuba,Romania,8000,Round of 16,France,1938,1938-06-09,2,1,home_win
Italy,Norway,19000,Round of 16,France,1938,1938-06-05,2,1,home_win
Cuba,Romania,7000,Round of 16,France,1938,1938-06-05,3,3,draw
Hungary,Dutch East Indies,9000,Round of 16,France,1938,1938-06-05,6,0,home_win
France,Belgium,30454,Round of 16,France,1938,1938-06-05,3,1,home_win
Brazil,Poland,13452,Round of 16,France,1938,1938-06-05,6,5,home_win
Czechoslovakia,Netherlands,11000,Round of 16,France,1938,1938-06-05,3,0,home_win
Switzerland,Germany,27152,Round of 16,France,1938,1938-06-04,1,1,draw
Italy,Czechoslovakia,55000,Final,Italy,1934,1934-06-10,2,1,home_win
Germany,Austria,7000,Third-place match,Italy,1934,1934-06-07,3,2,home_win
Czechoslovakia,Germany,15000,Semi-finals,Italy,1934,1934-06-03,3,1,home_win
Italy,Austria,35000,Semi-finals,Italy,1934,1934-06-03,1,0,home_win
Italy,Spain,43000,Quarter-finals,Italy,1934,1934-06-01,1,0,home_win
Austria,Hungary,23000,Quarter-finals,Italy,1934,1934-05-31,2,1,home_win
Czechoslovakia,Switzerland,12000,Quarter-finals,Italy,1934,1934-05-31,3,2,home_win
Italy,Spain,35000,Quarter-finals,Italy,1934,1934-05-31,1,1,draw
Germany,Sweden,3000,Quarter-finals,Italy,1934,1934-05-31,2,1,home_win
Czechoslovakia,Romania,9000,Round of 16,Italy,1934,1934-05-27,2,1,home_win
Hungary,Egypt,9000,Round of 16,Italy,1934,1934-05-27,4,2,home_win
Austria,France,16000,Round of 16,Italy,1934,1934-05-27,3,2,home_win
Switzerland,Netherlands,33000,Round of 16,Italy,1934,1934-05-27,3,2,home_win
Sweden,Argentina,14000,Round of 16,Italy,1934,1934-05-27,3,2,home_win
Spain,Brazil,21000,Round of 16,Italy,1934,1934-05-27,3,1,home_win
Germany,Belgium,8000,Round of 16,Italy,1934,1934-05-27,5,2,home_win
Italy,United States,25000,Round of 16,Italy,1934,1934-05-27,7,1,home_win
Uruguay,Argentina,68346,Final,Uruguay,1930,1930-07-30,4,2,home_win
Uruguay,Yugoslavia,79867,Semi-finals,Uruguay,1930,1930-07-27,6,1,home_win
Argentina,United States,72886,Semi-finals,Uruguay,1930,1930-07-26,6,1,home_win
Argentina,Chile,41459,Group stage,Uruguay,1930,1930-07-22,3,1,home_win
Uruguay,Romania,70022,Group stage,Uruguay,1930,1930-07-21,4,0,home_win
Brazil,Bolivia,25466,Group stage,Uruguay,1930,1930-07-20,4,0,home_win
Paraguay,Belgium,12000,Group stage,Uruguay,1930,1930-07-20,1,0,home_win
Chile,France,2000,Group stage,Uruguay,1930,1930-07-19,1,0,home_win
Argentina,Mexico,42100,Group stage,Uruguay,1930,1930-07-19,6,3,home_win
Uruguay,Peru,57735,Group stage,Uruguay,1930,1930-07-18,1,0,home_win
Yugoslavia,Bolivia,18306,Group stage,Uruguay,1930,1930-07-17,4,0,home_win
United States,Paraguay,18306,Group stage,Uruguay,1930,1930-07-17,3,0,home_win
Chile,Mexico,9249,Group stage,Uruguay,1930,1930-07-16,3,0,home_win
Argentina,France,23409,Group stage,Uruguay,1930,1930-07-15,1,0,home_win
Yugoslavia,Brazil,24059,Group stage,Uruguay,1930,1930-07-14,2,1,home_win
Romania,Peru,2549,Group stage,Uruguay,1930,1930-07-14,3,1,home_win
United States,Belgium,18346,Group stage,Uruguay,1930,1930-07-13,3,0,home_win
France,Mexico,4444,Group stage,Uruguay,1930,1930-07-13,4,1,home_win
